09:53:14,699 ERROR [cl.mdr.ifrs.modules.seguridad.filter.SeguridadFilter] (http--0.0.0.0-8081-6) Usuario No autorizado
09:53:18,878 INFO  [cl.mdr.ifrs.modules.seguridad.mb.LoginBackingBean] (http--0.0.0.0-8081-6) autentificando usuario
09:53:19,296 WARN  [org.hibernate.hql.internal.ast.QueryTranslatorImpl] (http--0.0.0.0-8081-6) HHH000104: firstResult/maxResults specified with collection fetch; applying in memory!
09:53:22,756 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:22,757 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.ID_RUT=empresa1_.ID_RUT(+) 
09:53:22,757 INFO  [stdout] (http--0.0.0.0-8081-6)         and areanegoci0_.ID_AREA_NEGOCIO=?
09:53:22,760 WARN  [org.hibernate.hql.internal.ast.QueryTranslatorImpl] (http--0.0.0.0-8081-6) HHH000104: firstResult/maxResults specified with collection fetch; applying in memory!
09:53:22,762 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:22,763 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:22,763 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.NOMBRE_USUARIO as NOMBRE1_10_0_,
09:53:22,764 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.ID_GRUPO_ACCESO as ID1_22_1_,
09:53:22,765 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.APELLIDO_MATERNO as APELLIDO2_10_0_,
09:53:22,765 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.APELLIDO_PATERNO as APELLIDO3_10_0_,
09:53:22,766 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.CAMBIAR_PASSWORD as CAMBIAR4_10_0_,
09:53:22,767 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.email as email10_0_,
09:53:22,768 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.FECHA_ACTUALIZACION as FECHA6_10_0_,
09:53:22,769 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.FECHA_CREACION as FECHA7_10_0_,
09:53:22,769 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.FECHA_ULTIMO_ACCESO as FECHA8_10_0_,
09:53:22,770 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.NOMBRE as NOMBRE10_0_,
09:53:22,771 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.password as password10_0_,
09:53:22,772 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.ID_ROL as ID12_10_0_,
09:53:22,772 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.vigente as vigente10_0_,
09:53:22,773 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.ACCESO_BLOQUEADO as ACCESO2_22_1_,
09:53:22,773 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.ID_AREA_NEGOCIO as ID5_22_1_,
09:53:22,774 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.nombre as nombre22_1_,
09:53:22,774 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.VIGENTE as VIGENTE22_1_,
09:53:22,775 INFO  [stdout] (http--0.0.0.0-8081-6)         grupos1_.NOMBRE_USUARIO as NOMBRE2_10_0__,
09:53:22,776 INFO  [stdout] (http--0.0.0.0-8081-6)         grupos1_.ID_GRUPO_ACCESO as ID1_0__ 
09:53:22,776 INFO  [stdout] (http--0.0.0.0-8081-6)     from
09:53:22,777 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_USUARIO usuario0_,
09:53:22,777 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_USUARIO_GRUPO grupos1_,
09:53:22,778 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_GRUPO grupo2_ 
09:53:22,778 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:22,779 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.NOMBRE_USUARIO=grupos1_.NOMBRE_USUARIO(+) 
09:53:22,779 INFO  [stdout] (http--0.0.0.0-8081-6)         and grupos1_.ID_GRUPO_ACCESO=grupo2_.ID_GRUPO_ACCESO(+) 
09:53:22,780 INFO  [stdout] (http--0.0.0.0-8081-6)         and usuario0_.NOMBRE_USUARIO=?
09:53:22,782 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:22,783 INFO  [stdout] (http--0.0.0.0-8081-6)     select
